Date,Time ,Price
2023-9-1,2023-09-01 00:00:00,20.19
2023-9-1,2023-09-01 01:00:00,19.78
2023-9-1,2023-09-01 02:00:00,18.97
2023-9-1,2023-09-01 03:00:00,18.88
2023-9-1,2023-09-01 04:00:00,18.98
2023-9-1,2023-09-01 05:00:00,19.89
2023-9-1,2023-09-01 06:00:00,21.48
2023-9-1,2023-09-01 07:00:00,71.43
2023-9-1,2023-09-01 08:00:00,105.17
2023-9-1,2023-09-01 09:00:00,92.12
2023-9-1,2023-09-01 10:00:00,85.42
2023-9-1,2023-09-01 11:00:00,81.17
2023-9-1,2023-09-01 12:00:00,77.9
2023-9-1,2023-09-01 13:00:00,28.15
2023-9-1,2023-09-01 14:00:00,26.39
2023-9-1,2023-09-01 15:00:00,29.95
2023-9-1,2023-09-01 16:00:00,30.29
2023-9-1,2023-09-01 17:00:00,31.88
2023-9-1,2023-09-01 18:00:00,46.86
2023-9-1,2023-09-01 19:00:00,30.12
2023-9-1,2023-09-01 20:00:00,26.71
2023-9-1,2023-09-01 21:00:00,23.84
2023-9-1,2023-09-01 22:00:00,21.97
2023-9-1,2023-09-01 23:00:00,20.13
2023-9-2,2023-09-02 00:00:00,18.89
2023-9-2,2023-09-02 01:00:00,18.04
2023-9-2,2023-09-02 02:00:00,17.33
2023-9-2,2023-09-02 03:00:00,16.71
2023-9-2,2023-09-02 04:00:00,17.08
2023-9-2,2023-09-02 05:00:00,16.52
2023-9-2,2023-09-02 06:00:00,18.41
2023-9-2,2023-09-02 07:00:00,19.35
2023-9-2,2023-09-02 08:00:00,19.61
2023-9-2,2023-09-02 09:00:00,20.19
2023-9-2,2023-09-02 10:00:00,20.4
2023-9-2,2023-09-02 11:00:00,20.3
2023-9-2,2023-09-02 12:00:00,19.73
2023-9-2,2023-09-02 13:00:00,19.49
2023-9-2,2023-09-02 14:00:00,19.48
2023-9-2,2023-09-02 15:00:00,20.49
2023-9-2,2023-09-02 16:00:00,21.68
2023-9-2,2023-09-02 17:00:00,23.36
2023-9-2,2023-09-02 18:00:00,33.35
2023-9-2,2023-09-02 19:00:00,30.52
2023-9-2,2023-09-02 20:00:00,24.91
2023-9-2,2023-09-02 21:00:00,23.52
2023-9-2,2023-09-02 22:00:00,21.54
2023-9-2,2023-09-02 23:00:00,20.91
2023-9-3,2023-09-03 00:00:00,19.8
2023-9-3,2023-09-03 01:00:00,19.38
2023-9-3,2023-09-03 02:00:00,19.2
2023-9-3,2023-09-03 03:00:00,19.25
2023-9-3,2023-09-03 04:00:00,19.58
2023-9-3,2023-09-03 05:00:00,19.72
2023-9-3,2023-09-03 06:00:00,19.68
2023-9-3,2023-09-03 07:00:00,20.78
2023-9-3,2023-09-03 08:00:00,32.47
2023-9-3,2023-09-03 09:00:00,32.4
2023-9-3,2023-09-03 10:00:00,29.54
2023-9-3,2023-09-03 11:00:00,27.08
2023-9-3,2023-09-03 12:00:00,21.09
2023-9-3,2023-09-03 13:00:00,11.61
2023-9-3,2023-09-03 14:00:00,4.94
2023-9-3,2023-09-03 15:00:00,15.71
2023-9-3,2023-09-03 16:00:00,29.32
2023-9-3,2023-09-03 17:00:00,35.89
2023-9-3,2023-09-03 18:00:00,37.17
2023-9-3,2023-09-03 19:00:00,22.85
2023-9-3,2023-09-03 20:00:00,19.62
2023-9-3,2023-09-03 21:00:00,15.96
2023-9-3,2023-09-03 22:00:00,9.68
2023-9-3,2023-09-03 23:00:00,1.39
2023-9-4,2023-09-04 00:00:00,-0.19
2023-9-4,2023-09-04 01:00:00,-1.21
2023-9-4,2023-09-04 02:00:00,-1.66
2023-9-4,2023-09-04 03:00:00,-1.8
2023-9-4,2023-09-04 04:00:00,-1.61
2023-9-4,2023-09-04 05:00:00,-0.14
2023-9-4,2023-09-04 06:00:00,2.61
2023-9-4,2023-09-04 07:00:00,34.14
2023-9-4,2023-09-04 08:00:00,37.56
2023-9-4,2023-09-04 09:00:00,38.26
2023-9-4,2023-09-04 10:00:00,75.67
2023-9-4,2023-09-04 11:00:00,47.15
2023-9-4,2023-09-04 12:00:00,33.1
2023-9-4,2023-09-04 13:00:00,28.0
2023-9-4,2023-09-04 14:00:00,26.35
2023-9-4,2023-09-04 15:00:00,25.27
